X,Y,Stazione d,Provincia,Regione,Lat.,Long.,Serie pres,5 minuti,10 minuti,15 minuti,20 minuti,30 minuti,1 ora,3 ore,6 ore,12 ore,24 ore,Minima dim,Massima di,Range seri,a,n,h_15min (m,h_60min (m,icon_url
7.2,45.82,St. Oyen (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.200000000000000,5,,,,,,x,x,x,x,x,10,10,1975-1989,21.750000000000000,0.450000000000000,48.945000000000000,21.745000000000001,./0.png
7.32,45.82,Valpelline (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.320000000000000,8,,x,x,,x,x,x,x,x,x,5,19,1929-1991,28.539999999999999,0.327000000000000,72.560000000000002,28.541000000000000,./0.png
7.14,45.71,Avise,Aosta,Valle d'Aosta,45.710000000000001,7.140000000000000,5,,,,,,x,x,x,x,x,6,6,1985-1991,14.390000000000001,0.538000000000000,32.392000000000003,14.391000000000000,./0.png
7.17,45.7,Arvier,Aosta,Valle d'Aosta,45.700000000000003,7.170000000000000,6,,x,,,,x,x,x,x,x,5,16,1955-1972,17.859999999999999,0.411000000000000,40.396000000000001,17.861999999999998,./0.png
7.24,45.7,Aymavilles,Aosta,Valle d'Aosta,45.700000000000003,7.240000000000000,7,,x,x,,,x,x,x,x,x,5,21,1958-1972,25.460000000000001,0.329000000000000,64.552000000000007,25.463999999999999,./0.png
7.32,45.73,Aosta,Aosta,Valle d'Aosta,45.729999999999997,7.320000000000000,8,,x,x,,x,x,x,x,x,x,6,43,1934-1991,28.850000000000001,0.301000000000000,76.036000000000001,28.849000000000000,./0.png
7.45,45.74,Saint - Marcel,Aosta,Valle d'Aosta,45.740000000000002,7.450000000000000,5,,,,,,x,x,x,x,x,19,19,1929-1963,22.809999999999999,0.503000000000000,51.338000000000001,22.808000000000000,./0.png
7.47,45.75,Nus - C.le,Aosta,Valle d'Aosta,45.750000000000000,7.470000000000000,6,,,,,x,x,x,x,x,x,5,17,1964-1988,23.609999999999999,0.382000000000000,55.636000000000003,23.608000000000001,./0.png
7.32,45.63,Sanfront,Aosta,Valle d'Aosta,45.630000000000003,7.320000000000000,8,,x,x,,x,x,x,x,x,x,9,28,1961-1991,48.539999999999999,0.433000000000000,106.471999999999994,48.542999999999999,./0.png
7.39,45.6,Lillaz (Grand'Eyvia),Aosta,Valle d'Aosta,45.600000000000001,7.390000000000000,9,,x,x,x,x,x,x,x,x,x,5,48,1929-1991,37.490000000000002,0.475000000000000,77.603999999999999,37.488000000000000,./0.png
8.44,45.13,Casale Monferrato - Ist. Piopp.,Alessandria,Piemonte,45.130000000000003,8.440000000000000,8,,x,x,,x,x,x,x,x,x,6,23,1952-1988,41.950000000000003,0.295000000000000,111.504000000000005,41.951000000000001,./0.png
8.57,44.98,San Salvatore Monferrato,Alessandria,Piemonte,44.979999999999997,8.570000000000000,6,,,,,x,x,x,x,x,x,5,9,1956-1968,39.579999999999998,0.224000000000000,115.980000000000004,39.576999999999998,./0.png
8.59,44.92,Alessandria - Aereoporto,Alessandria,Piemonte,44.920000000000002,8.590000000000000,8,,x,,x,x,x,x,x,x,x,7,35,1933-1985,37.859999999999999,0.237000000000000,109.012000000000000,37.859000000000002,./0.png
8.32,44.77,Nizza Monferrato,Alessandria,Piemonte,44.770000000000003,8.320000000000000,8,,x,,x,x,x,x,x,x,x,5,24,1931-1973,37.640000000000001,0.328000000000000,95.603999999999999,37.645000000000003,./0.png
8.47,44.68,Acqui Terme (Bormida),Alessandria,Piemonte,44.680000000000000,8.470000000000002,9,,x,x,x,x,x,x,x,x,x,5,43,1936-1991,41.649999999999999,0.423000000000000,92.623999999999995,41.646999999999998,./0.png
8.87,44.9,Tortona,Alessandria,Piemonte,44.899999999999999,8.869999999999999,8,,,x,x,x,x,x,x,x,x,5,36,1943-1991,48.859999999999999,0.364000000000000,118.043999999999997,48.857999999999997,./0.png
