X,Y,Stazione d,Provincia,Regione,Lat.,Long.,Serie pres,5 minuti,10 minuti,15 minuti,20 minuti,30 minuti,1 ora,3 ore,6 ore,12 ore,24 ore,Minima dim,Massima di,Range seri,a,n,h_15min (m,h_60min (m,icon_url
7.2,45.82,St. Oyen (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.200000000000000,5,,,,,,x,x,x,x,x,10,10,1975-1989,25.460000000000001,"0.446",57.298000000000002,25.456000000000000,./0.png
7.32,45.82,Valpelline (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.320000000000000,8,,x,x,,x,x,x,x,x,x,5,19,1929-1991,34.469999999999999,"0.319",88.620000000000005,34.468000000000004,./0.png
7.14,45.71,Avise,Aosta,Valle d'Aosta,45.710000000000001,7.140000000000000,5,,,,,,x,x,x,x,x,6,6,1985-1991,16.920000000000002,"0.530",38.087000000000003,16.920999999999999,./0.png
7.17,45.7,Arvier,Aosta,Valle d'Aosta,45.700000000000003,7.170000000000000,6,,x,,,,x,x,x,x,x,5,16,1955-1972,20.859999999999999,"0.404",47.648000000000003,20.858000000000001,./0.png
7.24,45.7,Aymavilles,Aosta,Valle d'Aosta,45.700000000000003,7.240000000000000,7,,x,x,,,x,x,x,x,x,5,21,1958-1972,30.020000000000000,"0.325",76.563999999999993,30.024000000000001,./0.png
7.32,45.73,Aosta,Aosta,Valle d'Aosta,45.729999999999997,7.320000000000000,8,,x,x,,x,x,x,x,x,x,6,43,1934-1991,34.789999999999999,"0.292",92.840000000000003,34.786000000000001,./0.png
7.45,45.74,Saint - Marcel,Aosta,Valle d'Aosta,45.740000000000002,7.450000000000000,5,,,,,,x,x,x,x,x,19,19,1929-1963,26.410000000000000,"0.516",59.436000000000000,26.405999999999999,./0.png
7.47,45.75,Nus - C.le,Aosta,Valle d'Aosta,45.750000000000000,7.470000000000000,6,,,,,x,x,x,x,x,x,5,17,1964-1988,28.609999999999999,"0.365",68.971999999999994,28.605000000000000,./0.png
7.32,45.63,Sanfront,Aosta,Valle d'Aosta,45.630000000000003,7.320000000000000,8,,x,x,,x,x,x,x,x,x,9,28,1961-1991,58.200000000000003,"0.433",127.664000000000001,58.200000000000003,./0.png
7.39,45.6,Lillaz (Grand'Eyvia),Aosta,Valle d'Aosta,45.600000000000001,7.390000000000000,9,,x,x,x,x,x,x,x,x,x,5,48,1929-1991,45.170000000000002,"0.477",93.323999999999998,45.173999999999999,./0.png
8.44,45.13,Casale Monferrato - Ist. Piopp.,Alessandria,Piemonte,45.130000000000003,8.440000000000000,8,,x,x,,x,x,x,x,x,x,6,23,1952-1988,50.049999999999997,"0.290",133.560000000000002,50.052999999999997,./0.png
8.57,44.98,San Salvatore Monferrato,Alessandria,Piemonte,44.979999999999997,8.570000000000000,6,,,,,x,x,x,x,x,x,5,9,1956-1968,46.430000000000000,"0.212",138.340000000000003,46.433000000000000,./0.png
8.59,44.92,Alessandria - Aereoporto,Alessandria,Piemonte,44.920000000000002,8.590000000000000,8,,x,,x,x,x,x,x,x,x,7,35,1933-1985,45.549999999999997,"0.228",132.812000000000012,45.549999999999997,./0.png
8.32,44.77,Nizza Monferrato,Alessandria,Piemonte,44.770000000000003,8.320000000000000,8,,x,,x,x,x,x,x,x,x,5,24,1931-1973,44.890000000000001,"0.323",114.816000000000003,44.892000000000003,./0.png
8.47,44.68,Acqui Terme (Bormida),Alessandria,Piemonte,44.680000000000000,8.470000000000002,9,,x,x,x,x,x,x,x,x,x,5,43,1936-1991,50.649999999999999,"0.422",112.912000000000006,50.652999999999999,./0.png
8.87,44.9,Tortona,Alessandria,Piemonte,44.899999999999999,8.869999999999999,8,,,x,x,x,x,x,x,x,x,5,36,1943-1991,58.630000000000003,"0.371",140.268000000000001,58.630000000000003,./0.png
8.99,44.97,Villa Morini,Alessandria,Piemonte,44.969999999999999,8.990000000000000,6,,,,,x,x,x,x,x,x,5,5,1955-1959,65.519999999999996,"0.217",185.063999999999993,62.515000000000001,./0.png
8.87,44.73,Stazzano,Alessandria,Piemonte,44.729999999999997,8.869999999999999,7,,,x,,x,x,x,x,x,x,7,20,1928-1989,63.520000000000003,"0.548",118.828000000000003,63.515000000000001,./0.png
8.8,44.68,Gavi Centrale,Alessandria,Piemonte,44.680000000000000,8.800000000000002,8,,x,,x,x,x,x,x,x,x,7,32,1932-1968,74.000000000000000,"0.397",170.780000000000001,74.001999999999995,./0.png
8.02,45.08,Cocconato,Asti,Piemonte,45.079999999999998,8.020000000000000,7,,,,x,x,x,x,x,x,x,5,18,1940-1973,49.700000000000003,"0.371",118.835999999999999,49.698000000000000,./0.png
7.95,45.03,Castelnuovo - Colle don Bosco,Asti,Piemonte,45.030000000000001,7.950000000000000,7,,,x,,x,x,x,x,x,x,5,6,1986-1991,40.090000000000003,"0.367",96.415999999999997,40.094999999999999,./0.png
8.27,45.05,Moncalvo,Asti,Piemonte,45.049999999999997,8.270000000000000,8,,x,x,,x,x,x,x,x,x,8,19,1953-1988,42.810000000000002,"0.354",104.831999999999994,42.813000000000002,./0.png
8.2,44.97,Castell'Alfero (Versa),Asti,Piemonte,44.969999999999999,8.199999999999999,6,,,,,x,x,x,x,x,x,6,15,1927-1991,35.729999999999997,"0.427",79.048000000000002,35.726999999999997,./0.png
8.17,44.9,Asti,Asti,Piemonte,44.899999999999999,8.170000000000000,9,,x,x,x,x,x,x,x,x,x,5,38,1933-1991,40.960000000000001,"0.335",103.007999999999996,40.954999999999998,./0.png
8.07,44.88,Tigliole (Borbore),Asti,Piemonte,44.880000000000003,8.070000000000000,5,,,,,,x,x,x,x,x,7,7,1969-1981,52.189999999999998,"0.136",117.478999999999999,52.192999999999998,./0.png
8.14,44.75,Castagnole Lanze (Belbo),Asti,Piemonte,44.750000000000000,8.140000000000002,7,,,x,,x,x,x,x,x,x,7,20,1928-1991,39.579999999999998,"0.395",91.567999999999998,39.579000000000001,./0.png
8.32,44.77,Nizza Monferrato,Asti,Piemonte,44.770000000000003,8.320000000000000,8,,x,,x,x,x,x,x,x,x,5,24,1931-1973,44.890000000000001,"0.323",114.816000000000003,44.892000000000003,./0.png
7.94,45.63,Lago Mucrone,Biella,Piemonte,45.630000000000003,7.940000000000000,6,,,,x,,x,x,x,x,x,5,12,1952-1964,77.969999999999999,"0.532",149.216000000000008,77.966999999999999,./0.png
7.95,45.63,Monte Camino,Biella,Piemonte,45.630000000000003,7.950000000000000,5,,,,,,x,x,x,x,x,8,8,1954-1963,76.200000000000003,"0.371",171.518000000000001,76.200999999999993,./0.png
7.97,45.63,Oropa (Cervo),Biella,Piemonte,45.630000000000003,7.970000000000000,10,x,x,x,x,x,x,x,x,x,x,5,58,1929-1991,68.000000000000000,"0.518",132.740000000000009,68.001000000000005,./0.png
