X,Y,Stazione d,Provincia,Regione,Lat.,Long.,Serie pres,5 minuti,10 minuti,15 minuti,20 minuti,30 minuti,1 ora,3 ore,6 ore,12 ore,24 ore,Minima dim,Massima di,Range seri,a,n,h_15min (m,h_60min (m,icon_url
7.2,45.82,St. Oyen (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.200000000000000,5,,,,,,x,x,x,x,x,10,10,1975-1989,18.280000000000001,0.456000000000000,41.139000000000003,18.277000000000001,./0.png
7.32,45.82,Valpelline (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.320000000000000,8,,x,x,,x,x,x,x,x,x,5,19,1929-1991,23.000000000000000,0.338000000000000,57.564000000000000,23.000000000000000,./0.png
7.14,45.71,Avise,Aosta,Valle d'Aosta,45.710000000000001,7.140000000000000,5,,,,,,x,x,x,x,x,6,6,1985-1991,12.029999999999999,0.549000000000000,27.071000000000002,12.026999999999999,./0.png
7.17,45.7,Arvier,Aosta,Valle d'Aosta,45.700000000000003,7.170000000000000,6,,x,,,,x,x,x,x,x,5,16,1955-1972,15.060000000000000,0.421000000000000,33.607999999999997,15.057000000000000,./0.png
7.24,45.7,Aymavilles,Aosta,Valle d'Aosta,45.700000000000003,7.240000000000000,7,,x,x,,,x,x,x,x,x,5,21,1958-1972,21.180000000000000,0.335000000000000,53.235999999999997,21.184000000000001,./0.png
7.32,45.73,Aosta,Aosta,Valle d'Aosta,45.729999999999997,7.320000000000000,8,,x,x,,x,x,x,x,x,x,6,43,1934-1991,23.289999999999999,0.314000000000000,60.308000000000000,23.289000000000001,./0.png
7.45,45.74,Saint - Marcel,Aosta,Valle d'Aosta,45.740000000000002,7.450000000000000,5,,,,,,x,x,x,x,x,19,19,1929-1963,19.440000000000001,0.487000000000000,43.759000000000000,19.440999999999999,./0.png
7.47,45.75,Nus - C.le,Aosta,Valle d'Aosta,45.750000000000000,7.470000000000000,6,,,,,x,x,x,x,x,x,5,17,1964-1988,18.910000000000000,0.405000000000000,43.180000000000000,18.914000000000001,./0.png
7.32,45.63,Sanfront,Aosta,Valle d'Aosta,45.630000000000003,7.320000000000000,8,,x,x,,x,x,x,x,x,x,9,28,1961-1991,39.530000000000001,0.434000000000000,86.703999999999994,39.534999999999997,./0.png
7.39,45.6,Lillaz (Grand'Eyvia),Aosta,Valle d'Aosta,45.600000000000001,7.390000000000000,9,,x,x,x,x,x,x,x,x,x,5,48,1929-1991,30.280000000000001,0.474000000000000,62.832000000000001,30.283999999999999,./0.png
8.44,45.13,Casale Monferrato - Ist. Piopp.,Alessandria,Piemonte,45.130000000000003,8.440000000000000,8,,x,x,,x,x,x,x,x,x,6,23,1952-1988,34.369999999999997,0.301000000000000,90.528000000000006,34.366999999999997,./0.png
8.57,44.98,San Salvatore Monferrato,Alessandria,Piemonte,44.979999999999997,8.570000000000000,6,,,,,x,x,x,x,x,x,5,9,1956-1968,33.170000000000002,0.240000000000000,95.159999999999997,33.167999999999999,./0.png
8.59,44.92,Alessandria - Aereoporto,Alessandria,Piemonte,44.920000000000002,8.590000000000000,8,,x,,x,x,x,x,x,x,x,7,35,1933-1985,30.670000000000002,0.249000000000000,86.811999999999998,30.670000000000002,./0.png
8.32,44.77,Nizza Monferrato,Alessandria,Piemonte,44.770000000000003,8.320000000000000,8,,x,,x,x,x,x,x,x,x,5,24,1931-1973,30.870000000000001,0.335000000000000,77.671999999999997,30.873999999999999,./0.png
8.47,44.68,Acqui Terme (Bormida),Alessandria,Piemonte,44.680000000000000,8.470000000000002,9,,x,x,x,x,x,x,x,x,x,5,43,1936-1991,33.240000000000002,0.426000000000000,73.683999999999997,33.241999999999997,./0.png
8.87,44.9,Tortona,Alessandria,Piemonte,44.899999999999999,8.869999999999999,8,,,x,x,x,x,x,x,x,x,5,36,1943-1991,39.729999999999997,0.354000000000000,97.316000000000003,39.732999999999997,./0.png
8.99,44.97,Villa Morini,Alessandria,Piemonte,44.969999999999999,8.990000000000000,6,,,,,x,x,x,x,x,x,5,5,1955-1959,40.780000000000001,0.250000000000000,115.335999999999999,40.776000000000003,./0.png
8.87,44.73,Stazzano,Alessandria,Piemonte,44.729999999999997,8.869999999999999,7,,,x,,x,x,x,x,x,x,7,20,1928-1989,42.579999999999998,0.522000000000000,82.632000000000005,42.579999999999998,./0.png
8.8,44.68,Gavi Centrale,Alessandria,Piemonte,44.680000000000000,8.800000000000002,8,,x,,x,x,x,x,x,x,x,7,32,1932-1968,47.119999999999997,0.407000000000000,107.147999999999996,47.116000000000000,./0.png
8.02,45.08,Cocconato,Asti,Piemonte,45.079999999999998,8.020000000000000,7,,,,x,x,x,x,x,x,x,5,18,1940-1973,33.340000000000003,0.373000000000000,79.475999999999999,33.337000000000003,./0.png
7.95,45.03,Castelnuovo - Colle don Bosco,Asti,Piemonte,45.030000000000001,7.950000000000000,7,,,x,,x,x,x,x,x,x,5,6,1986-1991,29.020000000000000,0.384000000000000,68.144000000000005,29.015000000000001,./0.png
8.27,45.05,Moncalvo,Asti,Piemonte,45.049999999999997,8.270000000000000,8,,x,x,,x,x,x,x,x,x,8,19,1953-1988,29.190000000000001,0.347000000000000,72.200000000000003,29.186000000000000,./0.png
8.2,44.97,Castell'Alfero (Versa),Asti,Piemonte,44.969999999999999,8.199999999999999,6,,,,,x,x,x,x,x,x,6,15,1927-1991,24.649999999999999,0.421000000000000,55.003999999999998,24.654000000000000,./0.png
8.17,44.9,Asti,Asti,Piemonte,44.899999999999999,8.170000000000000,9,,x,x,x,x,x,x,x,x,x,5,38,1933-1991,27.850000000000001,0.354000000000000,68.224000000000004,27.849000000000000,./0.png
8.07,44.88,Tigliole (Borbore),Asti,Piemonte,44.880000000000003,8.070000000000000,5,,,,,,x,x,x,x,x,7,7,1969-1981,34.479999999999997,0.193000000000000,77.606999999999999,34.478999999999999,./0.png
8.14,44.75,Castagnole Lanze (Belbo),Asti,Piemonte,44.750000000000000,8.140000000000002,7,,,x,,x,x,x,x,x,x,7,20,1928-1991,26.649999999999999,0.408000000000000,60.548000000000002,26.652999999999999,./0.png
8.32,44.77,Nizza Monferrato,Asti,Piemonte,44.770000000000003,8.320000000000000,8,,x,,x,x,x,x,x,x,x,5,24,1931-1973,30.870000000000001,0.335000000000000,77.671999999999997,30.873999999999999,./0.png
7.94,45.63,Lago Mucrone,Biella,Piemonte,45.630000000000003,7.940000000000000,6,,,,x,,x,x,x,x,x,5,12,1952-1964,49.609999999999999,0.536000000000000,94.388000000000005,49.609000000000002,./0.png
7.95,45.63,Monte Camino,Biella,Piemonte,45.630000000000003,7.950000000000000,5,,,,,,x,x,x,x,x,8,8,1954-1963,48.520000000000003,0.402000000000000,109.209000000000003,48.518999999999998,./0.png
7.97,45.63,Oropa (Cervo),Biella,Piemonte,45.630000000000003,7.970000000000000,10,x,x,x,x,x,x,x,x,x,x,5,58,1929-1991,47.409999999999997,0.529000000000000,91.140000000000001,47.411000000000001,./0.png
